vehicle_type,year,sum,mean,count
Car-Diesel,2019,3160.84,0.04,75482
Car-Diesel,2025,1615.03,0.02,77977
Car-Diesel,2030,720.09,0.01,78798
Car-Electric,2019,0.0,0.0,79381
Car-Electric,2025,0.0,0.0,79423
Car-Electric,2030,0.0,0.0,79423
Car-Petrol,2019,1006.58,0.01,78807
Car-Petrol,2025,755.77,0.01,79010
Car-Petrol,2030,516.1,0.01,79069
HGV-Articulated,2019,546.85,0.01,78783
HGV-Articulated,2025,191.35,0.0,79256
HGV-Articulated,2030,164.97,0.0,79312
HGV-Rigid,2019,1105.05,0.01,78539
HGV-Rigid,2025,444.32,0.01,79270
HGV-Rigid,2030,382.88,0.0,79375
LGV-Diesel,2019,2426.26,0.03,76548
LGV-Diesel,2025,1540.5,0.02,77751
LGV-Diesel,2030,886.87,0.01,78529
LGV-Electric,2019,0.0,0.0,79381
LGV-Electric,2025,0.0,0.0,79423
LGV-Electric,2030,0.0,0.0,79423
LGV-Petrol,2019,7.14,0.0,79381
LGV-Petrol,2025,7.39,0.0,79423
LGV-Petrol,2030,9.39,0.0,79423
Motorcycle,2019,81.69,0.0,79381
Motorcycle,2025,57.75,0.0,79423
Motorcycle,2030,47.41,0.0,79423
Non-TfL-Bus-or-Coach,2019,1101.71,0.01,79016
Non-TfL-Bus-or-Coach,2025,369.44,0.0,79389
Non-TfL-Bus-or-Coach,2030,264.95,0.0,79401
PHV-Diesel,2019,290.17,0.0,79291
PHV-Diesel,2025,116.39,0.0,79371
PHV-Diesel,2030,50.58,0.0,79421
PHV-Electric,2019,0.0,0.0,79381
PHV-Electric,2025,0.0,0.0,79423
PHV-Electric,2030,0.0,0.0,79423
PHV-Petrol,2019,39.22,0.0,79381
PHV-Petrol,2025,25.74,0.0,79423
PHV-Petrol,2030,16.83,0.0,79423
Taxi,2019,529.0,0.01,79206
Taxi,2025,262.99,0.0,79398
Taxi,2030,103.83,0.0,79423
TfL-Bus,2019,738.47,0.01,79317
TfL-Bus,2025,144.4,0.0,79439
TfL-Bus,2030,81.19,0.0,79439
Total,2019,4843.62,0.08,64282
Total,2025,3613.86,0.05,74293
Total,2030,2330.76,0.03,77000
